date,pet,brent_close_1D_mean,brent_open_1D_mean,brent_max_1D_mean,brent_min_1D_mean,USDCNY_close_1D_mean,USDCNY_open_1D_mean,USDCNY_max_1D_mean,USDCNY_min_1D_mean,brent_close_7D_mean,brent_open_7D_mean,brent_max_7D_mean,brent_min_7D_mean,USDCNY_close_7D_mean,USDCNY_open_7D_mean,USDCNY_max_7D_mean,USDCNY_min_7D_mean,brent_close_7D_median,brent_open_7D_median,brent_max_7D_median,brent_min_7D_median,USDCNY_close_7D_median,USDCNY_open_7D_median,USDCNY_max_7D_median,USDCNY_min_7D_median,brent_close_7D_std,brent_open_7D_std,brent_max_7D_std,brent_min_7D_std,USDCNY_close_7D_std,USDCNY_open_7D_std,USDCNY_max_7D_std,USDCNY_min_7D_std,brent_close_7D_max,brent_open_7D_max,brent_max_7D_max,brent_min_7D_max,USDCNY_close_7D_max,USDCNY_open_7D_max,USDCNY_max_7D_max,USDCNY_min_7D_max,brent_close_7D_min,brent_open_7D_min,brent_max_7D_min,brent_min_7D_min,USDCNY_close_7D_min,USDCNY_open_7D_min,USDCNY_max_7D_min,USDCNY_min_7D_min,brent_close_30D_mean,brent_open_30D_mean,brent_max_30D_mean,brent_min_30D_mean,USDCNY_close_30D_mean,USDCNY_open_30D_mean,USDCNY_max_30D_mean,USDCNY_min_30D_mean,brent_close_30D_median,brent_open_30D_median,brent_max_30D_median,brent_min_30D_median,USDCNY_close_30D_median,USDCNY_open_30D_median,USDCNY_max_30D_median,USDCNY_min_30D_median,brent_close_30D_std,brent_open_30D_std,brent_max_30D_std,brent_min_30D_std,USDCNY_close_30D_std,USDCNY_open_30D_std,USDCNY_max_30D_std,USDCNY_min_30D_std,brent_close_30D_max,brent_open_30D_max,brent_max_30D_max,brent_min_30D_max,USDCNY_close_30D_max,USDCNY_open_30D_max,USDCNY_max_30D_max,USDCNY_min_30D_max,brent_close_30D_min,brent_open_30D_min,brent_max_30D_min,brent_min_30D_min,USDCNY_close_30D_min,USDCNY_open_30D_min,USDCNY_max_30D_min,USDCNY_min_30D_min,brent_close_60D_mean,brent_open_60D_mean,brent_max_60D_mean,brent_min_60D_mean,USDCNY_close_60D_mean,USDCNY_open_60D_mean,USDCNY_max_60D_mean,USDCNY_min_60D_mean,brent_close_60D_median,brent_open_60D_median,brent_max_60D_median,brent_min_60D_median,USDCNY_close_60D_median,USDCNY_open_60D_median,USDCNY_max_60D_median,USDCNY_min_60D_median,brent_close_60D_std,brent_open_60D_std,brent_max_60D_std,brent_min_60D_std,USDCNY_close_60D_std,USDCNY_open_60D_std,USDCNY_max_60D_std,USDCNY_min_60D_std,brent_close_60D_max,brent_open_60D_max,brent_max_60D_max,brent_min_60D_max,USDCNY_close_60D_max,USDCNY_open_60D_max,USDCNY_max_60D_max,USDCNY_min_60D_max,brent_close_60D_min,brent_open_60D_min,brent_max_60D_min,brent_min_60D_min,USDCNY_close_60D_min,USDCNY_open_60D_min,USDCNY_max_60D_min,USDCNY_min_60D_min,brent_close_180D_mean,brent_open_180D_mean,brent_max_180D_mean,brent_min_180D_mean,USDCNY_close_180D_mean,USDCNY_open_180D_mean,USDCNY_max_180D_mean,USDCNY_min_180D_mean,brent_close_180D_median,brent_open_180D_median,brent_max_180D_median,brent_min_180D_median,USDCNY_close_180D_median,USDCNY_open_180D_median,USDCNY_max_180D_median,USDCNY_min_180D_median,brent_close_180D_std,brent_open_180D_std,brent_max_180D_std,brent_min_180D_std,USDCNY_close_180D_std,USDCNY_open_180D_std,USDCNY_max_180D_std,USDCNY_min_180D_std,brent_close_180D_max,brent_open_180D_max,brent_max_180D_max,brent_min_180D_max,USDCNY_close_180D_max,USDCNY_open_180D_max,USDCNY_max_180D_max,USDCNY_min_180D_max,brent_close_180D_min,brent_open_180D_min,brent_max_180D_min,brent_min_180D_min,USDCNY_close_180D_min,USDCNY_open_180D_min,USDCNY_max_180D_min,USDCNY_min_180D_min,month
2004-06-01,961.25,32.23,32.95,33.14,32.15,8.2767,8.2767,8.2767,8.2767,36.54500000000006,36.127500000000005,36.819999999999894,35.8875,8.277100000000011,8.277100000000011,8.277100000000011,8.277100000000011,36.625,36.25,37.04,35.95,8.2771,8.2771,8.2771,8.2771,0.4531739916041325,0.7729758512837271,0.563560112145135,0.8066132902446259,3.4703406806075087e-09,3.4703406806075087e-09,3.4703406806075087e-09,3.4703406806075087e-09,37.0,36.79,37.2,36.7,8.2771,8.2771,8.2771,8.2771,35.93,35.22,36.0,34.95,8.2771,8.2771,8.2771,8.2771,34.22888888888892,34.09333333333333,34.59055555555555,33.75388888888889,8.276961111111106,8.276961111111106,8.276961111111106,8.276961111111106,33.61,33.650000000000006,34.125,33.325,8.2769,8.2769,8.2769,8.2769,1.389561458069583,1.2579628723597192,1.3467323076605877,1.3132453688068195,0.0001377930626299246,0.0001377930626299246,0.0001377930626299246,0.0001377930626299246,37.0,36.79,37.2,36.7,8.2772,8.2772,8.2772,8.2772,32.46,32.58,33.08,32.31,8.2768,8.2768,8.2768,8.2768,33.24589743589742,33.128205128205096,33.612564102564114,32.66282051282054,8.27702307692309,8.27702307692309,8.27702307692309,8.27702307692309,33.19,33.0,33.45,32.58,8.277000000000001,8.277000000000001,8.277000000000001,8.277000000000001,1.490875260320297,1.3841297318929349,1.427463185899722,1.515750550088848,0.0001739049021251094,0.0001739049021251094,0.0001739049021251094,0.0001739049021251094,37.0,36.79,37.2,36.7,8.2774,8.2774,8.2774,8.2774,30.21,30.69,30.92,29.95,8.2768,8.2768,8.2768,8.2768,31.28224137931035,31.21974137931032,31.65862068965517,30.80870689655171,8.277008620689658,8.277008620689658,8.277008620689658,8.277008620689658,30.82,30.8,31.22,30.485,8.277000000000001,8.277000000000001,8.277000000000001,8.277000000000001,1.931055168287135,1.8730730207948572,1.9080292115856032,1.8698474851418754,0.00017020139760530987,0.00017020139760530987,0.00017020139760530987,0.00017020139760530987,37.0,36.79,37.2,36.7,8.2774,8.2774,8.2774,8.2774,27.86,28.05,28.43,27.68,8.2767,8.2767,8.2767,8.2767,6
2004-07-01,962.0,35.29,34.75,35.44,34.43,8.2767,8.2767,8.2767,8.2767,35.67400000000005,35.91400000000001,36.41799999999991,35.07600000000001,8.276720000000003,8.276720000000003,8.276720000000003,8.276720000000003,35.67,35.97,36.28,35.0,8.2767,8.2767,8.2767,8.2767,0.5351915544921888,0.7943110222077934,0.8596918052422555,0.5021254823244385,4.4721359639441296e-05,4.4721359639441296e-05,4.4721359639441296e-05,4.4721359639441296e-05,36.4,36.9,37.77,35.65,8.2768,8.2768,8.2768,8.2768,35.05,34.75,35.44,34.43,8.2767,8.2767,8.2767,8.2767,37.10300000000003,36.91449999999998,37.59949999999998,36.35199999999999,8.276964999999993,8.276964999999993,8.276964999999993,8.276964999999993,37.17,37.055,37.835,36.375,8.2769,8.2769,8.2769,8.2769,1.139187614510396,0.9916200195428818,0.9880894643066189,1.002410778284342,0.00021588252166821557,0.00021588252166821557,0.00021588252166821557,0.00021588252166821557,39.08,38.3,39.12,38.19,8.2773,8.2773,8.2773,8.2773,35.05,34.75,35.44,34.43,8.2767,8.2767,8.2767,8.2767,35.747435897435885,35.60794871794868,36.19538461538463,35.12666666666669,8.276961538461551,8.276961538461551,8.276961538461551,8.276961538461551,35.97,35.96,36.67,35.5,8.2769,8.2769,8.2769,8.2769,1.8903532362033262,1.7940034317388376,1.8905552597805915,1.7198658658428614,0.00017861364452299307,0.00017861364452299307,0.00017861364452299307,0.00017861364452299307,39.08,38.3,39.12,38.19,8.2773,8.2773,8.2773,8.2773,32.46,32.58,33.08,32.31,8.2767,8.2767,8.2767,8.2767,32.726869565217406,32.6502608695652,33.13426086956523,32.198086956521735,8.276997391304347,8.276997391304347,8.276997391304347,8.276997391304347,32.23,32.33,32.85,31.65,8.277000000000001,8.277000000000001,8.277000000000001,8.277000000000001,2.6686241823638426,2.593522450891883,2.6786694985061943,2.5435401133385027,0.00018327472887704672,0.00018327472887704672,0.00018327472887704672,0.00018327472887704672,39.08,38.3,39.12,38.19,8.2774,8.2774,8.2774,8.2774,28.83,28.94,29.18,28.44,8.2767,8.2767,8.2767,8.2767,7
2004-08-01,1053.75,37.05,37.6,37.8,37.0,8.2769,8.2769,8.2769,8.2769,36.98200000000006,36.83800000000001,37.34999999999991,36.445999999999984,8.276840000000004,8.276840000000004,8.276840000000004,8.276840000000004,37.05,36.83,37.3,36.41,8.2768,8.2768,8.2768,8.2768,0.5630896909017392,0.5914558309805779,0.47958315233214155,0.34011762671084655,5.477225582012769e-05,5.477225582012769e-05,5.477225582012769e-05,5.477225582012769e-05,37.77,37.6,37.8,37.0,8.2769,8.2769,8.2769,8.2769,36.3,36.1,36.65,36.1,8.2768,8.2768,8.2768,8.2768,35.62863636363639,35.515,36.08363636363635,35.14181818181818,8.276686363636362,8.276686363636362,8.276686363636362,8.276686363636362,35.55,35.47,35.95,35.12,8.27665,8.27665,8.27665,8.27665,1.0742363642302641,1.0570072306822482,0.9974851494517195,1.0181712661789288,0.00010371873392157155,0.00010371873392157155,0.00010371873392157155,0.00010371873392157155,37.77,37.6,37.8,37.0,8.2769,8.2769,8.2769,8.2769,33.11,33.31,33.88,33.08,8.2766,8.2766,8.2766,8.2766,36.33071428571427,36.18142857142854,36.80547619047621,35.71809523809525,8.27681904761905,8.27681904761905,8.27681904761905,8.27681904761905,36.230000000000004,36.07,36.66,35.7,8.27675,8.27675,8.27675,8.27675,1.3220778045387072,1.2362819384587045,1.2446690271814425,1.1708309288190957,0.00021666890018941375,0.00021666890018941375,0.00021666890018941375,0.00021666890018941375,39.08,38.3,39.12,38.19,8.2773,8.2773,8.2773,8.2773,33.11,33.31,33.88,33.08,8.2766,8.2766,8.2766,8.2766,33.58504132231406,33.50611570247932,34.006363636363645,33.048347107438005,8.276943801652894,8.276943801652894,8.276943801652894,8.276943801652894,33.34,33.3,33.57,32.81,8.2769,8.2769,8.2769,8.2769,2.6200340722869977,2.538002945854956,2.6258909599093103,2.5238483667829095,0.00021326531286601307,0.00021326531286601307,0.00021326531286601307,0.00021326531286601307,39.08,38.3,39.12,38.19,8.2774,8.2774,8.2774,8.2774,28.83,29.0,29.18,28.44,8.2766,8.2766,8.2766,8.2766,8
2004-09-01,1180.0,37.05,37.6,37.8,37.0,8.2769,8.2769,8.2769,8.2769,40.52250000000008,40.49499999999999,41.134999999999884,39.98249999999997,8.276950000000005,8.276950000000005,8.276950000000005,8.276950000000005,40.635000000000005,40.39,41.144999999999996,39.885000000000005,8.27695,8.27695,8.27695,8.27695,0.5941029652620508,0.6473793323870846,0.33151168908812656,0.33129795250248223,5.7735026985162276e-05,5.7735026985162276e-05,5.7735026985162276e-05,5.7735026985162276e-05,41.12,41.35,41.5,40.46,8.277000000000001,8.277000000000001,8.277000000000001,8.277000000000001,39.7,39.85,40.75,39.7,8.2769,8.2769,8.2769,8.2769,38.69200000000002,38.47149999999999,39.077999999999975,38.1195,8.276774999999997,8.276774999999997,8.276774999999997,8.276774999999997,38.405,38.19,38.54,37.855000000000004,8.27675,8.27675,8.27675,8.27675,1.3535123898491055,1.3745478682481607,1.312513057579184,1.3019195342584557,0.00014464111669660145,0.00014464111669660145,0.00014464111669660145,0.00014464111669660145,41.12,41.35,41.5,40.46,8.277000000000001,8.277000000000001,8.277000000000001,8.277000000000001,36.63,36.4,36.88,36.11,8.2766,8.2766,8.2766,8.2766,37.12024390243901,36.962439024390214,37.54926829268295,36.59048780487805,8.276726829268288,8.276726829268288,8.276726829268288,8.276726829268288,37.01,36.9,37.66,36.46,8.2767,8.2767,8.2767,8.2767,1.971626850857891,1.9250594542609378,1.9028746546265785,1.905501182392129,0.00013233365073699532,0.00013233365073699532,0.00013233365073699532,0.00013233365073699532,41.12,41.35,41.5,40.46,8.277000000000001,8.277000000000001,8.277000000000001,8.277000000000001,33.11,33.31,33.88,33.08,8.2766,8.2766,8.2766,8.2766,34.962131147540994,34.83680327868852,35.37696721311475,34.39540983606557,8.276903278688527,8.276903278688527,8.276903278688527,8.276903278688527,35.09,35.05,35.504999999999995,34.665,8.2769,8.2769,8.2769,8.2769,2.733738768075598,2.6690978035561717,2.7338399384077987,2.6743906844599135,0.0002100509290033873,0.0002100509290033873,0.0002100509290033873,0.0002100509290033873,41.12,41.35,41.5,40.46,8.2774,8.2774,8.2774,8.2774,30.07,29.65,30.15,29.57,8.2766,8.2766,8.2766,8.2766,9
2004-10-01,1240.0,42.22,40.25,42.3,40.1,8.2768,8.2768,8.2768,8.2768,41.04400000000007,40.902,41.49999999999992,40.409999999999975,8.276700000000003,8.276700000000003,8.276700000000003,8.276700000000003,40.76,40.64,41.4,40.25,8.2767,8.2767,8.2767,8.2767,0.7255549600133344,0.5849102495268199,0.5612486080175667,0.429301758672363,7.071067816346563e-05,7.071067816346563e-05,7.071067816346563e-05,7.071067816346563e-05,42.22,41.7,42.3,41.1,8.2768,8.2768,8.2768,8.2768,40.39,40.25,40.9,40.06,8.2766,8.2766,8.2766,8.2766,41.91285714285717,41.83142857142856,42.50523809523808,41.232380952380936,8.276714285714283,8.276714285714283,8.276714285714283,8.276714285714283,41.57,41.5,42.56,41.1,8.2767,8.2767,8.2767,8.2767,1.354101705402159,1.3612578217013445,1.366000069720433,1.3156363660292048,9.102589903274612e-05,9.102589903274612e-05,9.102589903274612e-05,9.102589903274612e-05,44.33,44.5,45.15,43.3,8.2769,8.2769,8.2769,8.2769,39.61,39.75,39.95,39.2,8.2766,8.2766,8.2766,8.2766,40.364047619047604,40.221428571428554,40.853809523809545,39.74714285714286,8.27675,8.27675,8.27675,8.27675,40.625,40.425,41.045,39.885000000000005,8.2767,8.2767,8.2767,8.2767,2.0871769468428405,2.1529928929778275,2.15887838130679,2.024178587650863,0.0001273558486730204,0.0001273558486730204,0.0001273558486730204,0.0001273558486730204,44.33,44.5,45.15,43.3,8.277000000000001,8.277000000000001,8.277000000000001,8.277000000000001,36.63,36.4,36.88,36.11,8.2766,8.2766,8.2766,8.2766,36.79237704918035,36.65991803278687,37.241639344262275,36.18803278688525,8.276858196721314,8.276858196721314,8.276858196721314,8.276858196721314,36.555,36.43,37.125,35.980000000000004,8.2768,8.2768,8.2768,8.2768,3.320669566375946,3.303852871251908,3.3605778135245274,3.2792005776817867,0.00020922531806770616,0.00020922531806770616,0.00020922531806770616,0.00020922531806770616,44.33,44.5,45.15,43.3,8.2774,8.2774,8.2774,8.2774,30.21,30.69,30.92,29.95,8.2766,8.2766,8.2766,8.2766,10
2004-11-01,1266.25,42.22,40.25,42.3,40.1,8.2768,8.2768,8.2768,8.2768,47.98400000000006,47.188,48.16199999999989,46.94999999999998,8.276640000000006,8.276640000000006,8.276640000000006,8.276640000000006,47.99,47.1,48.1,46.85,8.2766,8.2766,8.2766,8.2766,1.3933700154662594,1.2146892606762674,1.3649065902113526,1.1516292806277952,8.944271913446235e-05,8.944271913446235e-05,8.944271913446235e-05,8.944271913446235e-05,49.71,48.69,49.75,48.15,8.2768,8.2768,8.2768,8.2768,46.19,45.8,46.35,45.8,8.2766,8.2766,8.2766,8.2766,44.81476190476193,44.481428571428566,45.204761904761895,43.97523809523808,8.276633333333328,8.276633333333328,8.276633333333328,8.276633333333328,45.33,44.93,45.75,44.56,8.2766,8.2766,8.2766,8.2766,2.748309696973389,2.5276041733512966,2.5583639675535097,2.632298651459536,6.582805894635651e-05,6.582805894635651e-05,6.582805894635651e-05,6.582805894635651e-05,49.71,48.69,49.75,48.15,8.2768,8.2768,8.2768,8.2768,40.2,40.7,41.15,40.0,8.2766,8.2766,8.2766,8.2766,43.363809523809515,43.15642857142855,43.855000000000004,42.60380952380953,8.276673809523803,8.276673809523803,8.276673809523803,8.276673809523803,42.95,42.565,43.17,42.05,8.27665,8.27665,8.27665,8.27665,2.595291188494325,2.412226803870397,2.4432168419087303,2.4801268185327165,8.85094009118216e-05,8.85094009118216e-05,8.85094009118216e-05,8.85094009118216e-05,49.71,48.69,49.75,48.15,8.2769,8.2769,8.2769,8.2769,39.61,39.75,39.95,39.2,8.2766,8.2766,8.2766,8.2766,38.82564516129034,38.65685483870968,39.2791935483871,38.192903225806475,8.276785483870977,8.276785483870977,8.276785483870977,8.276785483870977,37.975,37.58,38.254999999999995,37.2,8.2767,8.2767,8.2767,8.2767,3.9681209826853925,3.8871738991003704,3.9465377636553867,3.842227033365514,0.0001837697164854049,0.0001837697164854049,0.0001837697164854049,0.0001837697164854049,49.71,48.69,49.75,48.15,8.2773,8.2773,8.2773,8.2773,32.46,32.58,33.08,32.31,8.2766,8.2766,8.2766,8.2766,11
2004-12-01,1232.5,43.71,46.0,46.28,43.6,8.2765,8.2765,8.2765,8.2765,45.92400000000006,46.290000000000035,46.9399999999999,45.17,8.276500000000002,8.276500000000002,8.276500000000002,8.276500000000002,46.01,46.3,46.62,45.45,8.2765,8.2765,8.2765,8.2765,1.399260518988666,0.47486840282536663,0.7549503294933461,0.8997221793417408,2.3900108719965403e-09,2.3900108719965403e-09,2.3900108719965403e-09,2.3900108719965403e-09,47.56,47.05,47.85,45.9,8.2765,8.2765,8.2765,8.2765,43.71,45.8,46.28,43.6,8.2765,8.2765,8.2765,8.2765,48.79954545454546,48.95000000000002,49.64136363636362,48.06727272727273,8.276499999999992,8.276499999999992,8.276499999999992,8.276499999999992,49.215,49.400000000000006,50.25,48.435,8.2765,8.2765,8.2765,8.2765,2.105223610502774,1.8135915432406218,1.877280950266534,2.034018265166241,3.7126860250464105e-09,3.7126860250464105e-09,3.7126860250464105e-09,3.7126860250464105e-09,51.56,51.4,51.94,50.9,8.2765,8.2765,8.2765,8.2765,43.71,45.8,46.28,43.6,8.2765,8.2765,8.2765,8.2765,47.01190476190475,46.87642857142854,47.59071428571429,46.21333333333335,8.276564285714281,8.276564285714281,8.276564285714281,8.276564285714281,46.84,46.925,47.53,45.925,8.2765,8.2765,8.2765,8.2765,3.0016826485179404,3.0842952481403683,3.0923464868003543,2.994559022600539,8.21106587219836e-05,8.21106587219836e-05,8.21106587219836e-05,8.21106587219836e-05,51.56,51.4,51.94,50.9,8.2768,8.2768,8.2768,8.2768,40.75,40.7,41.15,40.0,8.2765,8.2765,8.2765,8.2765,41.30709677419359,41.2000806451613,41.8458870967742,40.64903225806452,8.276696774193557,8.276696774193557,8.276696774193557,8.276696774193557,40.635000000000005,40.629999999999995,41.2,40.0,8.2767,8.2767,8.2767,8.2767,4.963661082321363,4.97210961033487,5.018885636055052,4.854460595550026,0.00016573830091330072,0.00016573830091330072,0.00016573830091330072,0.00016573830091330072,51.56,51.4,51.94,50.9,8.2772,8.2772,8.2772,8.2772,33.11,33.31,33.88,33.08,8.2765,8.2765,8.2765,8.2765,12
2005-01-01,1210.0,39.67,39.03,40.03,38.9,8.2765,8.2765,8.2765,8.2765,39.12800000000008,39.36600000000003,40.05599999999989,38.48000000000001,8.276500000000002,8.276500000000002,8.276500000000002,8.276500000000002,39.36,39.5,40.03,38.85,8.2765,8.2765,8.2765,8.2765,0.6221093151530285,0.6587715840872032,0.543764654976027,0.800468612751081,2.3900108719951804e-09,2.3900108719951804e-09,2.3900108719951804e-09,2.3900108719951804e-09,39.67,40.1,40.65,39.3,8.2765,8.2765,8.2765,8.2765,38.27,38.42,39.25,37.3,8.2765,8.2765,8.2765,8.2765,42.59800000000002,42.80500000000002,43.57899999999998,41.89900000000001,8.27649999999999,8.27649999999999,8.27649999999999,8.27649999999999,42.739999999999995,43.22,44.224999999999994,42.2,8.2765,8.2765,8.2765,8.2765,2.4711995808559575,2.279109937072658,2.3390099119971515,2.4322220726170807,3.903202382467107e-09,3.903202382467107e-09,3.903202382467107e-09,3.903202382467107e-09,45.75,45.62,46.7,44.92,8.2765,8.2765,8.2765,8.2765,38.27,38.42,39.25,37.3,8.2765,8.2765,8.2765,8.2765,45.846428571428554,46.0238095238095,46.754523809523825,45.13000000000003,8.276500000000006,8.276500000000006,8.276500000000006,8.276500000000006,45.835,45.9,46.459999999999994,45.16,8.2765,8.2765,8.2765,8.2765,3.863546217249181,3.706801890513939,3.705565492792141,3.8186768235774533,0.0,0.0,0.0,0.0,51.56,51.4,51.94,50.9,8.2765,8.2765,8.2765,8.2765,38.27,38.42,39.25,37.3,8.2765,8.2765,8.2765,8.2765,42.19680000000005,42.13296,42.807759999999995,41.52576000000002,8.276635200000014,8.276635200000014,8.276635200000014,8.276635200000014,41.85,41.93,42.6,41.11,8.2766,8.2766,8.2766,8.2766,4.642112561351526,4.654825284133397,4.700097093025956,4.5359179929436415,0.00013693417310824593,0.00013693417310824593,0.00013693417310824593,0.00013693417310824593,51.56,51.4,51.94,50.9,8.277000000000001,8.277000000000001,8.277000000000001,8.277000000000001,33.11,33.31,33.88,33.08,8.2765,8.2765,8.2765,8.2765,1
2005-02-01,1235.0,39.67,39.03,40.03,38.9,8.2765,8.2765,8.2765,8.2765,41.89500000000009,40.84500000000003,42.299999999999876,40.18250000000001,8.276500000000004,8.276500000000004,8.276500000000004,8.276500000000004,41.945,40.614999999999995,42.225,39.86,8.2765,8.2765,8.2765,8.2765,1.3181426326464865,1.4013445924068733,1.379009306229888,1.4335590907480134,2.7597468406233163e-09,2.7597468406233163e-09,2.7597468406233163e-09,2.7597468406233163e-09,43.18,42.75,43.75,42.2,8.2765,8.2765,8.2765,8.2765,40.51,39.4,41.0,38.81,8.2765,8.2765,8.2765,8.2765,41.11875000000003,40.633125000000035,41.55562499999998,39.96812500000002,8.276499999999988,8.276499999999988,8.276499999999988,8.276499999999988,40.875,40.515,41.7,40.01,8.2765,8.2765,8.2765,8.2765,1.5678557544201963,1.6397793296661682,1.5983198209369296,1.4995253415661927,4.392909346742975e-09,4.392909346742975e-09,4.392909346742975e-09,4.392909346742975e-09,43.39,43.1,43.75,42.2,8.2765,8.2765,8.2765,8.2765,37.84,37.8,38.55,37.0,8.2765,8.2765,8.2765,8.2765,41.73583333333332,41.739444444444416,42.56083333333336,40.87416666666669,8.276500000000006,8.276500000000006,8.276500000000006,8.276500000000006,42.254999999999995,42.14,42.69,40.825,8.2765,8.2765,8.2765,8.2765,2.2912858211678175,2.2798909052152903,2.257174434679936,2.312433937280382,0.0,0.0,0.0,0.0,45.75,45.62,46.7,44.92,8.2765,8.2765,8.2765,8.2765,37.38,37.8,38.55,37.0,8.2765,8.2765,8.2765,8.2765,43.19925000000008,43.108666666666664,43.83066666666668,42.43666666666665,8.276605833333354,8.276605833333354,8.276605833333354,8.276605833333354,42.41,42.489999999999995,43.17,41.849999999999994,8.2766,8.2766,8.2766,8.2766,3.760567443883899,3.7728149518715677,3.7819433298424974,3.71930311836434,0.00013676688962687585,0.00013676688962687585,0.00013676688962687585,0.00013676688962687585,51.56,51.4,51.94,50.9,8.277000000000001,8.277000000000001,8.277000000000001,8.277000000000001,37.01,36.9,37.66,36.6,8.2765,8.2765,8.2765,8.2765,2
2005-03-01,1271.25,39.67,39.03,40.03,38.9,8.2765,8.2765,8.2765,8.2765,43.59333333333345,43.953333333333354,44.159999999999826,43.190000000000005,8.276500000000006,8.276500000000006,8.276500000000006,8.276500000000006,43.85,44.03,44.13,43.15,8.2765,8.2765,8.2765,8.2765,0.4796179034748446,0.22501851776190493,0.30610455730606934,0.4513313638555855,3.3799857893904064e-09,3.3799857893904064e-09,3.3799857893904064e-09,3.3799857893904064e-09,43.89,44.13,44.48,43.66,8.2765,8.2765,8.2765,8.2765,43.04,43.7,43.87,42.76,8.2765,8.2765,8.2765,8.2765,44.89526315789475,44.9589473684211,45.45526315789473,44.22736842105263,8.27649999999999,8.27649999999999,8.27649999999999,8.27649999999999,44.95,45.07,45.4,44.5,8.2765,8.2765,8.2765,8.2765,1.1379189993688874,1.1233229214991136,1.1379678203857788,1.0720377382723387,4.010159237145115e-09,4.010159237145115e-09,4.010159237145115e-09,4.010159237145115e-09,46.96,46.7,47.35,46.35,8.2765,8.2765,8.2765,8.2765,43.04,42.95,43.65,42.5,8.2765,8.2765,8.2765,8.2765,43.16194444444443,42.98749999999998,43.70527777777779,42.29750000000003,8.276500000000006,8.276500000000006,8.276500000000006,8.276500000000006,43.285,43.3,43.885,42.655,8.2765,8.2765,8.2765,8.2765,2.293570914465274,2.538990097319534,2.3607619667161326,2.4632016041846043,0.0,0.0,0.0,0.0,46.96,46.7,47.35,46.35,8.2765,8.2765,8.2765,8.2765,37.84,37.8,38.55,37.0,8.2765,8.2765,8.2765,8.2765,44.1550847457628,44.135423728813535,44.841779661016965,43.39771186440677,8.276552542372912,8.276552542372912,8.276552542372912,8.276552542372912,43.870000000000005,43.925,44.825,43.25,8.2765,8.2765,8.2765,8.2765,3.3203549253600886,3.2873961961626375,3.2641417849201266,3.3090756865285664,8.544690416658913e-05,8.544690416658913e-05,8.544690416658913e-05,8.544690416658913e-05,51.56,51.4,51.94,50.9,8.2768,8.2768,8.2768,8.2768,37.38,37.8,38.55,37.0,8.2765,8.2765,8.2765,8.2765,3
