None,ticker,date,open,high,low,close,volume,dividends,closeunadj,lastupdated
0,GLD,2021-01-29,174.87,175.163,172.61,172.61,11250790.0,0.0,172.61,2021-01-29
1,GLD,2021-01-28,174.28,174.73,172.04,172.68,9381003.0,0.0,172.68,2021-01-28
2,GLD,2021-01-27,172.93,173.52,171.66,172.52,9027504.0,0.0,172.52,2021-01-27
3,GLD,2021-01-26,173.98,174.26,173.42,173.62,4671622.0,0.0,173.62,2021-01-26
4,GLD,2021-01-25,174.82,174.96,173.19,174.05,5934060.0,0.0,174.05,2021-01-25
5,GLD,2021-01-22,172.89,174.29,172.35,173.9,7268764.0,0.0,173.9,2021-01-22
6,GLD,2021-01-21,175.11,175.51,174.51,175.28,7248545.0,0.0,175.28,2021-01-21
7,GLD,2021-01-20,174.37,175.467,173.82,175.39,9437975.0,0.0,175.39,2021-01-20
8,GLD,2021-01-19,172.71,172.85,171.92,172.58,7433837.0,0.0,172.58,2021-01-19
9,GLD,2021-01-15,172.844,173.07,170.975,171.13,16163054.0,0.0,171.13,2021-01-15
10,GLD,2021-01-14,173.44,174.22,172.655,173.28,13489301.0,0.0,173.28,2021-01-14
11,GLD,2021-01-13,173.68,174.46,173.05,173.37,14089781.0,0.0,173.37,2021-01-13
12,GLD,2021-01-12,173.13,174.18,172.32,174.12,9779743.0,0.0,174.12,2021-01-12
13,GLD,2021-01-11,172.14,173.68,172.03,173.0,8477352.0,0.0,173.0,2021-01-11
14,GLD,2021-01-08,176.83,176.99,171.48,173.34,24377796.0,0.0,173.34,2021-01-08
15,GLD,2021-01-07,179.69,179.92,178.84,179.48,7077439.0,0.0,179.48,2021-01-07
16,GLD,2021-01-06,181.49,181.58,178.24,179.9,18412148.0,0.0,179.9,2021-01-06
17,GLD,2021-01-05,182.87,183.21,181.824,182.87,12668421.0,0.0,182.87,2021-01-05
18,GLD,2021-01-04,181.97,182.4,180.955,182.33,14313497.0,0.0,182.33,2021-01-04
19,GLD,2020-12-31,178.07,178.4,177.32,178.36,7536700.0,0.0,178.36,2021-01-02
20,GLD,2020-12-30,176.44,177.72,176.44,177.7,5899322.0,0.0,177.7,2020-12-30
21,GLD,2020-12-29,176.25,176.97,175.57,176.35,5978527.0,0.0,176.35,2020-12-29
22,GLD,2020-12-28,177.26,177.91,175.625,175.71,7773398.0,0.0,175.71,2020-12-28
