None,ticker,date,open,high,low,close,volume,dividends,closeunadj,lastupdated
0,SPY,2021-01-29,375.63,376.67,368.27,370.07,126601429.0,0.0,370.07,2021-01-29
1,SPY,2021-01-28,376.36,381.93,375.89,377.63,93773398.0,0.0,377.63,2021-01-28
2,SPY,2021-01-27,380.22,380.32,372.01,374.41,122536313.0,0.0,374.41,2021-01-27
3,SPY,2021-01-26,385.41,385.85,383.54,383.79,42235069.0,0.0,383.79,2021-01-26
4,SPY,2021-01-25,383.67,384.77,378.46,384.39,70171998.0,0.0,384.39,2021-01-25
5,SPY,2021-01-22,382.25,384.126,381.835,382.88,52004127.0,0.0,382.88,2021-01-22
6,SPY,2021-01-21,384.49,384.95,383.25,384.24,47879222.0,0.0,384.24,2021-01-21
7,SPY,2021-01-20,381.11,384.79,380.69,383.89,61591623.0,0.0,383.89,2021-01-20
8,SPY,2021-01-19,378.34,379.23,376.75,378.65,50947554.0,0.0,378.65,2021-01-19
9,SPY,2021-01-15,376.72,377.58,373.7,375.7,106950042.0,0.0,375.7,2021-01-15
10,SPY,2021-01-14,380.59,381.13,378.1,378.46,49658211.0,0.0,378.46,2021-01-14
11,SPY,2021-01-13,378.69,380.86,377.85,379.79,44998111.0,0.0,379.79,2021-01-13
12,SPY,2021-01-12,378.89,379.86,376.36,378.77,52431698.0,0.0,378.77,2021-01-12
13,SPY,2021-01-11,377.85,380.58,377.719,378.69,50959417.0,0.0,378.69,2021-01-11
14,SPY,2021-01-08,380.59,381.49,377.1,381.26,71621384.0,0.0,381.26,2021-01-08
15,SPY,2021-01-07,376.1,379.9,375.91,379.1,68370104.0,0.0,379.1,2021-01-07
16,SPY,2021-01-06,369.71,376.98,369.12,373.55,106584393.0,0.0,373.55,2021-01-06
17,SPY,2021-01-05,368.1,372.5,368.05,371.33,65933390.0,0.0,371.33,2021-01-05
18,SPY,2021-01-04,375.31,375.45,364.82,368.79,109895248.0,0.0,368.79,2021-01-04
19,SPY,2020-12-31,371.78,374.66,371.232,373.88,78460847.0,0.0,373.88,2021-01-02
20,SPY,2020-12-30,372.34,373.1,371.57,371.99,49371084.0,0.0,371.99,2020-12-30
21,SPY,2020-12-29,373.81,374.0,370.83,371.46,53488413.0,0.0,371.46,2020-12-29
22,SPY,2020-12-28,371.74,372.59,371.07,372.17,38819442.0,0.0,372.17,2020-12-28
23,SPY,2020-12-24,368.08,369.03,367.45,369.0,26457853.0,0.0,369.0,2020-12-24
24,SPY,2020-12-23,368.28,369.62,367.217,367.57,46017000.0,0.0,367.57,2020-12-23
25,SPY,2020-12-22,368.21,368.332,366.03,367.24,47924878.0,0.0,367.24,2020-12-22
26,SPY,2020-12-21,364.97,378.46,362.03,367.86,96001141.0,0.0,367.86,2020-12-21
27,SPY,2020-12-18,370.97,371.15,367.02,369.18,134859608.0,1.58,369.18,2020-12-21
28,SPY,2020-12-17,371.94,372.46,371.05,372.24,63975083.0,0.0,372.24,2020-12-17
29,SPY,2020-12-16,369.82,371.16,368.868,370.17,58259306.0,0.0,370.17,2020-12-16
30,SPY,2020-12-15,367.4,369.59,365.92,369.59,63757779.0,0.0,369.59,2020-12-15
31,SPY,2020-12-14,368.64,369.8,364.47,364.66,68955094.0,0.0,364.66,2020-12-14
32,SPY,2020-12-11,364.9,366.74,363.26,366.3,57635696.0,0.0,366.3,2020-12-11
33,SPY,2020-12-10,365.37,367.86,364.43,366.73,57571461.0,0.0,366.73,2020-12-10
34,SPY,2020-12-09,370.88,371.05,365.95,366.85,73910295.0,0.0,366.85,2020-12-09
35,SPY,2020-12-08,367.72,370.78,367.67,370.17,42050942.0,0.0,370.17,2020-12-08
36,SPY,2020-12-07,369.02,369.62,367.72,369.09,48688807.0,0.0,369.09,2020-12-07
37,SPY,2020-12-04,367.32,369.85,367.22,369.85,50683910.0,0.0,369.85,2020-12-04
38,SPY,2020-12-03,366.68,368.19,365.5,366.69,62573520.0,0.0,366.69,2020-12-03
39,SPY,2020-12-02,364.82,366.96,364.2,366.79,45730228.0,0.0,366.79,2020-12-02
40,SPY,2020-12-01,365.57,367.68,364.93,366.02,74071535.0,0.0,366.02,2020-12-01
41,SPY,2020-11-30,362.83,363.12,359.17,362.06,83263669.0,0.0,362.06,2020-11-30
42,SPY,2020-11-27,363.84,364.18,362.58,363.67,28514072.0,0.0,363.67,2020-11-27
43,SPY,2020-11-25,363.13,363.16,361.48,362.66,47697035.0,0.0,362.66,2020-11-25
44,SPY,2020-11-24,360.21,363.81,359.29,363.22,61936834.0,0.0,363.22,2020-11-25
45,SPY,2020-11-23,357.28,358.82,354.865,357.46,62600765.0,0.0,357.46,2020-11-23
46,SPY,2020-11-20,357.5,357.72,355.25,355.33,70397637.0,0.0,355.33,2020-11-20
47,SPY,2020-11-19,355.6,358.18,354.15,357.78,58706307.0,0.0,357.78,2020-11-19
48,SPY,2020-11-18,360.91,361.5,356.24,356.28,70248410.0,0.0,356.28,2020-11-18
49,SPY,2020-11-17,359.97,361.92,358.34,360.62,65799745.0,0.0,360.62,2020-11-17
50,SPY,2020-11-16,360.98,362.78,359.59,362.57,73883690.0,0.0,362.57,2020-11-16
51,SPY,2020-11-13,355.27,358.9,354.71,358.1,62869342.0,0.0,358.1,2020-11-13
52,SPY,2020-11-12,355.58,356.718,351.26,353.21,67507704.0,0.0,353.21,2020-11-12
53,SPY,2020-11-11,356.4,357.56,355.06,356.67,58212209.0,0.0,356.67,2020-11-11
54,SPY,2020-11-10,353.49,355.18,350.51,354.04,85128759.0,0.0,354.04,2020-11-10
55,SPY,2020-11-09,363.97,364.38,354.06,354.56,171657520.0,0.0,354.56,2020-11-09
56,SPY,2020-11-06,349.93,351.51,347.65,350.16,74861233.0,0.0,350.16,2020-11-06
57,SPY,2020-11-05,349.24,352.19,348.86,350.24,81130176.0,0.0,350.24,2020-11-05
58,SPY,2020-11-04,340.86,347.94,339.59,343.54,126447049.0,0.0,343.54,2020-11-04
59,SPY,2020-11-03,333.69,338.25,330.293,336.03,91206668.0,0.0,336.03,2020-11-03
